GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US89010,89010,ZCTA5 89010,313,92
8600000US89019,89019,ZCTA5 89019,2172,731
8600000US89060,89060,ZCTA5 89060,10691,1079
8600000US89061,89061,ZCTA5 89061,4658,708
8600000US89439,89439,ZCTA5 89439,1457,233
8600000US90001,90001,ZCTA5 90001,54760,1946
8600000US90002,90002,ZCTA5 90002,46509,2017
8600000US90003,90003,ZCTA5 90003,66183,2361
8600000US90004,90004,ZCTA5 90004,63932,1819
8600000US90005,90005,ZCTA5 90005,41178,1886
8600000US90006,90006,ZCTA5 90006,57912,1873
8600000US90007,90007,ZCTA5 90007,42265,2091
8600000US90008,90008,ZCTA5 90008,34429,1453
8600000US90010,90010,ZCTA5 90010,3229,562
8600000US90011,90011,ZCTA5 90011,101523,2456
8600000US90012,90012,ZCTA5 90012,29298,1263
8600000US90013,90013,ZCTA5 90013,8216,1461
8600000US90014,90014,ZCTA5 90014,5204,617
8600000US90015,90015,ZCTA5 90015,17957,1053
8600000US90016,90016,ZCTA5 90016,46871,1619
8600000US90017,90017,ZCTA5 90017,22401,1041
8600000US90018,90018,ZCTA5 90018,48212,2015
8600000US90019,90019,ZCTA5 90019,63894,2121
8600000US90020,90020,ZCTA5 90020,40596,1514
8600000US90021,90021,ZCTA5 90021,2603,594
8600000US90022,90022,ZCTA5 90022,67322,1696
8600000US90023,90023,ZCTA5 90023,44706,1612
8600000US90024,90024,ZCTA5 90024,49427,2085
8600000US90025,90025,ZCTA5 90025,42653,1391
8600000US90026,90026,ZCTA5 90026,70052,1821
8600000US90027,90027,ZCTA5 90027,45491,1312
8600000US90028,90028,ZCTA5 90028,27434,1287
8600000US90029,90029,ZCTA5 90029,38563,1367
8600000US90031,90031,ZCTA5 90031,39076,1555
8600000US90032,90032,ZCTA5 90032,48729,1567
8600000US90033,90033,ZCTA5 90033,49102,1839
8600000US90034,90034,ZCTA5 90034,59662,1726
8600000US90035,90035,ZCTA5 90035,29113,1027
8600000US90036,90036,ZCTA5 90036,36124,1292
8600000US90037,90037,ZCTA5 90037,60639,2088
8600000US90038,90038,ZCTA5 90038,30498,1197
8600000US90039,90039,ZCTA5 90039,29262,1161
8600000US90040,90040,ZCTA5 90040,12862,513
8600000US90041,90041,ZCTA5 90041,28857,1316
8600000US90042,90042,ZCTA5 90042,63424,2218
8600000US90043,90043,ZCTA5 90043,44042,1630
8600000US90044,90044,ZCTA5 90044,88164,2623
8600000US90045,90045,ZCTA5 90045,40150,1331
8600000US90046,90046,ZCTA5 90046,49212,1321
8600000US90047,90047,ZCTA5 90047,47550,1935
8600000US90048,90048,ZCTA5 90048,20931,973
8600000US90049,90049,ZCTA5 90049,36451,1059
8600000US90056,90056,ZCTA5 90056,8108,621
8600000US90057,90057,ZCTA5 90057,43808,1709
8600000US90058,90058,ZCTA5 90058,3484,624
8600000US90059,90059,ZCTA5 90059,40209,2287
8600000US90061,90061,ZCTA5 90061,26952,1543
8600000US90062,90062,ZCTA5 90062,30710,1536
8600000US90063,90063,ZCTA5 90063,52883,1990
8600000US90064,90064,ZCTA5 90064,25633,1009
8600000US90065,90065,ZCTA5 90065,46844,1854
8600000US90066,90066,ZCTA5 90066,56210,1675
8600000US90067,90067,ZCTA5 90067,2468,425
8600000US90068,90068,ZCTA5 90068,22048,905
8600000US90069,90069,ZCTA5 90069,19789,910
8600000US90071,90071,ZCTA5 90071,0,95
8600000US90073,90073,ZCTA5 90073,560,243
8600000US90077,90077,ZCTA5 90077,8571,480
8600000US90079,90079,ZCTA5 90079,0,95
8600000US90089,90089,ZCTA5 90089,3516,861
8600000US90090,90090,ZCTA5 90090,0,95
8600000US90094,90094,ZCTA5 90094,4994,484
8600000US90095,90095,ZCTA5 90095,0,95
8600000US90201,90201,ZCTA5 90201,101584,169
8600000US90210,90210,ZCTA5 90210,21719,957
8600000US90211,90211,ZCTA5 90211,8097,617
8600000US90212,90212,ZCTA5 90212,11836,566
8600000US90220,90220,ZCTA5 90220,50741,1788
8600000US90221,90221,ZCTA5 90221,51535,2012
8600000US90222,90222,ZCTA5 90222,30628,1557
8600000US90230,90230,ZCTA5 90230,32019,1142
8600000US90232,90232,ZCTA5 90232,15001,864
8600000US90240,90240,ZCTA5 90240,25398,895
8600000US90241,90241,ZCTA5 90241,43558,1443
8600000US90242,90242,ZCTA5 90242,42373,1288
8600000US90245,90245,ZCTA5 90245,16597,37
8600000US90247,90247,ZCTA5 90247,46729,1545
8600000US90248,90248,ZCTA5 90248,10268,864
8600000US90249,90249,ZCTA5 90249,26735,1147
8600000US90250,90250,ZCTA5 90250,93154,1079
8600000US90254,90254,ZCTA5 90254,19422,23
8600000US90255,90255,ZCTA5 90255,76137,1151
8600000US90260,90260,ZCTA5 90260,34471,515
8600000US90262,90262,ZCTA5 90262,69643,181
8600000US90263,90263,ZCTA5 90263,1710,197
8600000US90265,90265,ZCTA5 90265,17822,458
8600000US90266,90266,ZCTA5 90266,34986,49
8600000US90270,90270,ZCTA5 90270,27454,54
8600000US90272,90272,ZCTA5 90272,22765,819
8600000US90274,90274,ZCTA5 90274,25319,339
8600000US90275,90275,ZCTA5 90275,41712,108
8600000US90277,90277,ZCTA5 90277,34382,921
8600000US90278,90278,ZCTA5 90278,40661,778
8600000US90280,90280,ZCTA5 90280,94586,53
8600000US90290,90290,ZCTA5 90290,6820,684
8600000US90291,90291,ZCTA5 90291,26992,997
8600000US90292,90292,ZCTA5 90292,22152,1064
8600000US90293,90293,ZCTA5 90293,12833,837
8600000US90301,90301,ZCTA5 90301,37024,1125
8600000US90302,90302,ZCTA5 90302,30729,1259
8600000US90303,90303,ZCTA5 90303,26055,1142
8600000US90304,90304,ZCTA5 90304,26978,1471
8600000US90305,90305,ZCTA5 90305,14107,728
8600000US90401,90401,ZCTA5 90401,6531,551
8600000US90402,90402,ZCTA5 90402,12615,648
8600000US90403,90403,ZCTA5 90403,24770,726
8600000US90404,90404,ZCTA5 90404,20123,689
8600000US90405,90405,ZCTA5 90405,27350,744
8600000US90501,90501,ZCTA5 90501,41290,1320
8600000US90502,90502,ZCTA5 90502,16655,982
8600000US90503,90503,ZCTA5 90503,46402,1126
8600000US90504,90504,ZCTA5 90504,31463,996
8600000US90505,90505,ZCTA5 90505,35804,1053
8600000US90506,90506,ZCTA5 90506,0,95
8600000US90601,90601,ZCTA5 90601,32524,1369
8600000US90602,90602,ZCTA5 90602,26210,1143
8600000US90603,90603,ZCTA5 90603,19199,879
8600000US90604,90604,ZCTA5 90604,40340,1217
8600000US90605,90605,ZCTA5 90605,40159,1407
8600000US90606,90606,ZCTA5 90606,32929,1353
8600000US90620,90620,ZCTA5 90620,43414,1239
8600000US90621,90621,ZCTA5 90621,36338,1201
8600000US90623,90623,ZCTA5 90623,15402,112
8600000US90630,90630,ZCTA5 90630,47881,185
8600000US90631,90631,ZCTA5 90631,67707,594
8600000US90638,90638,ZCTA5 90638,48922,370
8600000US90640,90640,ZCTA5 90640,62782,188
8600000US90650,90650,ZCTA5 90650,105348,63
8600000US90660,90660,ZCTA5 90660,62994,58
8600000US90670,90670,ZCTA5 90670,15321,353
8600000US90680,90680,ZCTA5 90680,30526,858
8600000US90701,90701,ZCTA5 90701,16573,106
8600000US90703,90703,ZCTA5 90703,49537,225
8600000US90704,90704,ZCTA5 90704,4060,210
8600000US90706,90706,ZCTA5 90706,76243,69
8600000US90710,90710,ZCTA5 90710,27672,1047
8600000US90712,90712,ZCTA5 90712,31786,759
8600000US90713,90713,ZCTA5 90713,27344,707
8600000US90715,90715,ZCTA5 90715,20662,786
8600000US90716,90716,ZCTA5 90716,14265,66
8600000US90717,90717,ZCTA5 90717,21353,327
8600000US90720,90720,ZCTA5 90720,21360,502
8600000US90723,90723,ZCTA5 90723,54196,59
8600000US90731,90731,ZCTA5 90731,60467,1882
8600000US90732,90732,ZCTA5 90732,20300,1146
8600000US90740,90740,ZCTA5 90740,23875,144
8600000US90742,90742,ZCTA5 90742,1063,258
8600000US90743,90743,ZCTA5 90743,277,122
8600000US90744,90744,ZCTA5 90744,56811,1437
8600000US90745,90745,ZCTA5 90745,57668,1001
8600000US90746,90746,ZCTA5 90746,26021,894
8600000US90747,90747,ZCTA5 90747,0,95
8600000US90755,90755,ZCTA5 90755,10893,96
8600000US90802,90802,ZCTA5 90802,38669,1219
8600000US90803,90803,ZCTA5 90803,30670,1108
8600000US90804,90804,ZCTA5 90804,40817,1419
8600000US90805,90805,ZCTA5 90805,92627,1991
8600000US90806,90806,ZCTA5 90806,42486,1430
