Id,Id2,Geography,Estimate,Error
8600000US89010,89010,ZCTA5 89010,281,93
8600000US89019,89019,ZCTA5 89019,1882,647
8600000US89060,89060,ZCTA5 89060,10623,849
8600000US89061,89061,ZCTA5 89061,4552,743
8600000US89439,89439,ZCTA5 89439,1643,281
8600000US90001,90001,ZCTA5 90001,54480,1964
8600000US90002,90002,ZCTA5 90002,48613,1682
8600000US90003,90003,ZCTA5 90003,67226,2394
8600000US90004,90004,ZCTA5 90004,62884,1752
8600000US90005,90005,ZCTA5 90005,39592,1357
8600000US90006,90006,ZCTA5 90006,58849,1752
8600000US90007,90007,ZCTA5 90007,43653,1707
8600000US90008,90008,ZCTA5 90008,33754,1643
8600000US90010,90010,ZCTA5 90010,3835,596
8600000US90011,90011,ZCTA5 90011,100671,2087
8600000US90012,90012,ZCTA5 90012,29164,1106
8600000US90013,90013,ZCTA5 90013,9318,845
8600000US90014,90014,ZCTA5 90014,5556,575
8600000US90015,90015,ZCTA5 90015,17668,1088
8600000US90016,90016,ZCTA5 90016,46779,1636
8600000US90017,90017,ZCTA5 90017,23171,981
8600000US90018,90018,ZCTA5 90018,48497,1680
8600000US90019,90019,ZCTA5 90019,64613,2074
8600000US90020,90020,ZCTA5 90020,41086,1537
8600000US90021,90021,ZCTA5 90021,2664,444
8600000US90022,90022,ZCTA5 90022,68657,2001
8600000US90023,90023,ZCTA5 90023,45663,1402
8600000US90024,90024,ZCTA5 90024,50269,2321
8600000US90025,90025,ZCTA5 90025,42932,1323
8600000US90026,90026,ZCTA5 90026,69615,2042
8600000US90027,90027,ZCTA5 90027,45702,1301
8600000US90028,90028,ZCTA5 90028,28254,1143
8600000US90029,90029,ZCTA5 90029,39437,1134
8600000US90031,90031,ZCTA5 90031,39990,1402
8600000US90032,90032,ZCTA5 90032,49242,1572
8600000US90033,90033,ZCTA5 90033,49048,1621
8600000US90034,90034,ZCTA5 90034,59305,1347
8600000US90035,90035,ZCTA5 90035,30553,1191
8600000US90036,90036,ZCTA5 90036,35942,1323
8600000US90037,90037,ZCTA5 90037,60867,1945
8600000US90038,90038,ZCTA5 90038,30225,1274
8600000US90039,90039,ZCTA5 90039,28260,1003
8600000US90040,90040,ZCTA5 90040,12692,420
8600000US90041,90041,ZCTA5 90041,28571,1253
8600000US90042,90042,ZCTA5 90042,62303,2069
8600000US90043,90043,ZCTA5 90043,43761,1419
8600000US90044,90044,ZCTA5 90044,85940,2892
8600000US90045,90045,ZCTA5 90045,40535,1194
8600000US90046,90046,ZCTA5 90046,49937,1340
8600000US90047,90047,ZCTA5 90047,47857,2020
8600000US90048,90048,ZCTA5 90048,20793,902
8600000US90049,90049,ZCTA5 90049,36107,1113
8600000US90056,90056,ZCTA5 90056,8628,718
8600000US90057,90057,ZCTA5 90057,44871,1651
8600000US90058,90058,ZCTA5 90058,3289,681
8600000US90059,90059,ZCTA5 90059,40305,2204
8600000US90061,90061,ZCTA5 90061,26621,1362
8600000US90062,90062,ZCTA5 90062,31569,1725
8600000US90063,90063,ZCTA5 90063,53994,1964
8600000US90064,90064,ZCTA5 90064,25894,1179
8600000US90065,90065,ZCTA5 90065,45816,1468
8600000US90066,90066,ZCTA5 90066,56107,1409
8600000US90067,90067,ZCTA5 90067,2257,385
8600000US90068,90068,ZCTA5 90068,22270,968
8600000US90069,90069,ZCTA5 90069,20328,961
8600000US90071,90071,ZCTA5 90071,0,13
8600000US90073,90073,ZCTA5 90073,623,214
8600000US90077,90077,ZCTA5 90077,8262,706
8600000US90079,90079,ZCTA5 90079,0,13
8600000US90089,90089,ZCTA5 90089,3402,618
8600000US90090,90090,ZCTA5 90090,0,13
8600000US90094,90094,ZCTA5 90094,5567,540
8600000US90095,90095,ZCTA5 90095,0,13
8600000US90201,90201,ZCTA5 90201,101647,154
8600000US90210,90210,ZCTA5 90210,21517,1015
8600000US90211,90211,ZCTA5 90211,7889,584
8600000US90212,90212,ZCTA5 90212,12306,536
8600000US90220,90220,ZCTA5 90220,50947,1279
8600000US90221,90221,ZCTA5 90221,51350,1551
8600000US90222,90222,ZCTA5 90222,30990,1328
8600000US90230,90230,ZCTA5 90230,32508,1167
8600000US90232,90232,ZCTA5 90232,15248,712
8600000US90240,90240,ZCTA5 90240,25258,980
8600000US90241,90241,ZCTA5 90241,43786,1459
8600000US90242,90242,ZCTA5 90242,42763,1265
8600000US90245,90245,ZCTA5 90245,16678,38
8600000US90247,90247,ZCTA5 90247,46590,1212
8600000US90248,90248,ZCTA5 90248,9904,794
8600000US90249,90249,ZCTA5 90249,26790,1123
8600000US90250,90250,ZCTA5 90250,93925,1172
8600000US90254,90254,ZCTA5 90254,19535,25
8600000US90255,90255,ZCTA5 90255,75961,1152
8600000US90260,90260,ZCTA5 90260,35014,603
8600000US90262,90262,ZCTA5 90262,69734,166
8600000US90263,90263,ZCTA5 90263,1847,238
8600000US90265,90265,ZCTA5 90265,17749,561
8600000US90266,90266,ZCTA5 90266,35226,39
8600000US90270,90270,ZCTA5 90270,27443,66
8600000US90272,90272,ZCTA5 90272,22893,849
8600000US90274,90274,ZCTA5 90274,25387,318
8600000US90275,90275,ZCTA5 90275,41903,82
8600000US90277,90277,ZCTA5 90277,33972,786
8600000US90278,90278,ZCTA5 90278,40867,697
8600000US90280,90280,ZCTA5 90280,94703,39
8600000US90290,90290,ZCTA5 90290,6983,842
8600000US90291,90291,ZCTA5 90291,26961,875
8600000US90292,90292,ZCTA5 90292,22350,1194
8600000US90293,90293,ZCTA5 90293,12129,626
8600000US90301,90301,ZCTA5 90301,37165,1236
8600000US90302,90302,ZCTA5 90302,30344,1094
8600000US90303,90303,ZCTA5 90303,25828,996
8600000US90304,90304,ZCTA5 90304,27198,1449
8600000US90305,90305,ZCTA5 90305,14896,739
8600000US90401,90401,ZCTA5 90401,6766,492
8600000US90402,90402,ZCTA5 90402,12351,572
8600000US90403,90403,ZCTA5 90403,24286,663
8600000US90404,90404,ZCTA5 90404,20739,790
8600000US90405,90405,ZCTA5 90405,28114,704
8600000US90501,90501,ZCTA5 90501,42363,1471
8600000US90502,90502,ZCTA5 90502,16845,996
8600000US90503,90503,ZCTA5 90503,46253,1152
8600000US90504,90504,ZCTA5 90504,31650,965
8600000US90505,90505,ZCTA5 90505,36135,1112
8600000US90506,90506,ZCTA5 90506,0,13
8600000US90601,90601,ZCTA5 90601,32630,1527
8600000US90602,90602,ZCTA5 90602,25923,1041
8600000US90603,90603,ZCTA5 90603,19933,856
8600000US90604,90604,ZCTA5 90604,40483,1234
8600000US90605,90605,ZCTA5 90605,40698,1211
8600000US90606,90606,ZCTA5 90606,32998,1436
8600000US90620,90620,ZCTA5 90620,44295,1146
8600000US90621,90621,ZCTA5 90621,35994,1149
8600000US90623,90623,ZCTA5 90623,15528,136
8600000US90630,90630,ZCTA5 90630,48292,169
8600000US90631,90631,ZCTA5 90631,67929,541
8600000US90638,90638,ZCTA5 90638,49062,351
8600000US90640,90640,ZCTA5 90640,62965,293
8600000US90650,90650,ZCTA5 90650,105603,53
8600000US90660,90660,ZCTA5 90660,63106,55
8600000US90670,90670,ZCTA5 90670,15265,321
8600000US90680,90680,ZCTA5 90680,30369,871
8600000US90701,90701,ZCTA5 90701,16597,97
8600000US90703,90703,ZCTA5 90703,49551,269
8600000US90704,90704,ZCTA5 90704,3999,113
8600000US90706,90706,ZCTA5 90706,76619,53
8600000US90710,90710,ZCTA5 90710,27486,1107
8600000US90712,90712,ZCTA5 90712,31334,737
8600000US90713,90713,ZCTA5 90713,27562,694
8600000US90715,90715,ZCTA5 90715,21129,802
8600000US90716,90716,ZCTA5 90716,14203,82
8600000US90717,90717,ZCTA5 90717,21347,307
8600000US90720,90720,ZCTA5 90720,21710,570
8600000US90723,90723,ZCTA5 90723,54255,61
8600000US90731,90731,ZCTA5 90731,59270,2080
8600000US90732,90732,ZCTA5 90732,19895,1019
8600000US90740,90740,ZCTA5 90740,23789,149
8600000US90742,90742,ZCTA5 90742,968,224
8600000US90743,90743,ZCTA5 90743,411,130
8600000US90744,90744,ZCTA5 90744,57441,1491
8600000US90745,90745,ZCTA5 90745,58090,1040
8600000US90746,90746,ZCTA5 90746,25861,943
