CITY, POPULATION
Acalanes Ridge, 1137
Acampo, 341
Acton, 7596
Adelanto, 31239
Adin-Lookout, 789
Adin, 272
Agoura Hills, 20657
Agua Dulce, 3342
Aguanga, 1128
Ahwahnee, 2246
Airport, 1964
Alameda, 75641
Alamo, 14570
Albany, 18969
Alhambra Valley, 924
Alhambra, 84322
Aliso Viejo, 49493
Allendale, 1506
Allensworth, 471
Alondra Park, 8592
Alpaugh, 1026
Alpine, 14236
Alta Sierra, 6911
Altadena, 42777
Alta, 610
Alto, 711
Alturas, 2718
Alum Rock, 15536
American Canyon, 19933
Amesti, 3478
Anaheim, 343248
Anchor Bay, 340
Anderson, 10058
Angels City, 3458
Angels, 3753
Angwin, 3051
Antelope, 45770
Antioch, 105508
Anza-Borrego Springs, 3373
Anza, 3014
Apple Valley, 70700
Aptos Hills-Larkin Valley, 2381
Aptos, 6220
Arbuckle, 3028
Arcadia, 57497
Arcata, 17726
Arden-Arcade, 92186
Armona, 4156
Arnold, 3843
Aromas, 2650
Arrowhead, 28450
Arroyo Grande, 17543
Artesia, 16682
Artois, 295
Arvin, 20127
Ashland, 21925
Atascadero, 28814
Atherton, 7191
Atwater, 28742
Auberry, 2369
Auburn Lake Trails, 3426
Auburn, 13676
August, 8390
Avalon, 3765
Avenal, 14846
Avery, 646
Avilla Beach, 1627
Avocado Heights, 15411
Azusa, 47407
Bakersfield, 358597
Baker, 735
Baldwin Park, 76419
Ballard, 467
Ballico, 406
Bangor, 646
Banning, 30310
Barstow, 23033
Bass Lake, 527
Bay Point, 21349
Bayview-Montalvin, 5305
Bayview, 2510
Baywood-Los Osos, 15151
Beale AFB, 1319
Bear Creek, 290
Bear Valley Springs, 5172
Beaumont, 39455
Beckwourth, 432
Bell Canyon, 2049
Bell Gardens, 42757
Bella Vista, 2781
Bellflower, 77356
Bell, 35820
Belmont, 26491
Belvedere, 2108
Ben Lomond, 6234
Benbow, 321
Bend, 619
Benicia, 27426
Benton, 280
Berkeley, 115403
Bermuda Dunes, 7282
Berry Creek, 1424
Berryessa, 1732
Bertsch-Oceanview, 2436
Bethel Island, 2137
Beverly Hills, 34622
Bieber, 312
Big Bear City, 12304
Big Bear Lake, 5116
Big Bear, 28837
Big Pine, 1756
Big River, 1327
Big Valley, 1599
Biggs, 1710
Biola, 1623
Bishop, 3864
Black Point-Green Point, 1306
Blackhawk-Camino Tassajara, 10652
Blackhawk, 9354
Blacklake, 930
Bloomfield, 345
Bloomington, 23851
Blue Lake, 1248
Blythe, 20590
Bodega Bay, 1077
Bodega, 220
Bodfish, 1956
Bolinas, 1620
Bombay Beach, 295
Bonadelle Ranchos-Madera Ranchos, 8569
Bonita, 12538
Bonny Doon, 2678
Bonsall, 3982
Boonville, 1035
Bootjack, 960
Boronda, 1710
Boron, 2253
Borrego Springs, 3429
Bostonia, 15379
Boulder Creek, 4923
Boulevard, 315
Boyes Hot Springs, 6656
Bradbury, 1072
Brawley, 25567
Brea, 40330
Brentwood, 53673
Bret Harte, 5152
Bridgeport, 575
Briones, 6817
Brisbane, 4394
Broadmoor, 4176
Brookdale, 1991
Brooktrails, 3235
Buckhorn, 2429
Buellton, 4904
Buena Park, 82155
Buena Vista, 1742
Burbank, 104391
Burlingame, 29660
Burney, 3154
Burnt Ranch, 281
Butte Creek Canyon, 1086
Butte Valley, 1883
Buttonwillow, 1508
Byron, 1277
Bystrom, 4008
Cabazon, 2535
Calabasas, 23954
Calexico, 39310
California City, 13364
California Pines, 520
Calimesa, 8066
Calipatria, 7962
Calistoga, 5208
Callender, 1262
Calpella, 679
Calpine, 205
Calwa, 846
Camanche North Shore, 979
Camanche Village, 847
Camarillo, 65968
Cambrian Park, 3282
Cambria, 6032
Cameron Park, 18228
Camino Tassajara, 2197
Camino, 1750
Camp Pendleton North, 5200
Camp Pendleton South, 10616
Campbell, 40272
Campo, 2684
Canby, 315
Cantua Creek, 466
Canyon Lake, 10861
Capitola, 10012
Carlsbad, 109318
Carmel Valley Village, 4407
Carmel Valley, 6266
Carmel-by-the-Sea, 3807
Carmel, 15677
Carmichael, 61762
Carnelian Bay, 524
Carpinteria Valley, 19142
Carpinteria, 13231
Carson, 93002
Caruthers, 2497
Casa Conejo, 3249
Casa de Oro-Mount Helix, 18762
Caspar, 509
Cassel, 207
Castaic, 19015
Castle Hill, 1299
Castro Valley, 61388
Castroville, 6481
Cathedral City, 52655
Catheys Valley, 825
Cayucos, 2592
Cazadero, 354
Cedar Ridge, 1132
Cedarville, 514
Centerville, 392
Central Coast, 238434
Central Colusa, 10807
Central Contra Costa, 486883
Central Shasta, 11467
Ceres, 45719
Cerritos, 49629
Chalfant, 651
Challenge-Brownsville, 1148
Channel Islands Beach, 3103
Charter Oak, 9310
Cherokee Strip, 227
Cherry Valley, 6362
Cherryland, 14728
Chester, 2144
Chico, 87714
Chilcoot-Vinton, 454
China Lake Acres, 1876
Chino Hills, 76457
Chino, 80164
Chowchilla, 17925
Chualar, 1190
Chuckwalla, 14948
Chula Vista, 252422
Citrus Heights, 84870
Citrus, 10866
Claremont, 35457
Clarksburg, 1567
Clayton, 11318
Clay, 1195
Clearlake Oaks, 2359
Clearlake Riviera, 3090
Clearlake, 15029
Cleone, 618
Cloverdale-Geyserville, 12805
Cloverdale, 8695
Clovis, 98632
Clyde, 678
Coachella Valley, 156830
Coachella, 42734
Coalinga, 16789
Coarsegold, 1840
Coastal, 1177
Cobb, 1778
Coffee Creek, 217
Cohasset, 847
Cold Springs, 446
Coleville, 495
Colfax-Summit, 24007
Colfax, 2006
