ZIPCODE,TREND2007,POPULATION,RATIO
90001,0,54480,0.0
90002,0,48613,0.0
90008,0,33754,0.0
90022,0,68657,0.0
90023,0,45663,0.0
90038,0,30225,0.0
90040,0,12692,0.0
90043,7932,43761,0.181257283882909
90046,0,49937,0.0
90047,0,47857,0.0
90048,0,20793,0.0
90049,0,36107,0.0
90056,0,8628,0.0
90061,0,26621,0.0
90063,0,53994,0.0
90066,0,56107,0.0
90069,0,20328,0.0
90201,0,101647,0.0
90209,0,-100,-100
90210,14649.59961,21517,0.680838388715899
90211,0,7889,0.0
90212,5713.199707,12306,0.464261312124167
90213,9372,-100,-100
90220,0,50947,0.0
90221,0,51350,0.0
90222,0,30990,0.0
90230,11942,32508,0.367355727820844
90232,3758.400146,15248,0.246484794464848
90233,0,-100,-100
90240,7090.400391,25258,0.280718995605353
90241,0,43786,0.0
90242,4713.600098,42763,0.110226132357412
90245,0,16678,0.0
90247,3829.800049,46590,0.0822021903627388
90248,0,9904,0.0
90249,2555.199951,26790,0.0953788708846585
90250,9675.299805,93925,0.103010910886345
90254,0,19535,0.0
90255,0,75961,0.0
90260,0,35014,0.0
90262,0,69734,0.0
90263,0,1847,0.0
90264,0,-100,-100
90265,29877.30078,17749,1.68332304805905
90266,18670.30078,35226,0.530014783966388
90274,9820,25387,0.386812147949738
90275,25786.90039,41903,0.61539508841849
90277,0,33972,0.0
90278,3775.200195,40867,0.0923777178408006
90280,0,94703,0.0
90290,5270.399902,6983,0.754747229271087
90301,0,37165,0.0
90302,4919.600098,30344,0.162127606709728
90303,0,25828,0.0
90304,0,27198,0.0
90305,0,14896,0.0
90401,7149.200195,6766,1.05663615060597
90402,6098.799805,12351,0.493789960731924
90403,7596,24286,0.312772790908342
90404,1983,20739,0.0956169535657457
90405,31549.30078,28114,1.12219181831116
90406,0,-100,-100
90501,4360.399902,42363,0.102929440832802
90502,0,16845,0.0
90503,0,46253,0.0
90504,2651.400146,31650,0.0837725164612954
90505,0,36135,0.0
90601,9967.200195,32630,0.305461237971192
90602,5306.399902,25923,0.204698526482274
90603,0,19933,0.0
90604,0,40483,0.0
90605,19846.60156,40698,0.487655451373532
90606,0,32998,0.0
90620,0,44295,0.0
90621,0,35994,0.0
90623,7924.899902,15528,0.510361920530654
90630,22947.79883,48292,0.475188412780585
90631,8514,67929,0.125336748664046
90637,0,-100,-100
90638,0,49062,0.0
90640,0,62965,0.0
90650,0,105603,0.0
90657,0,-100,-100
90660,0,63106,0.0
90670,2100,15265,0.137569603668523
90680,0,30369,0.0
90700,0,-100,-100
90701,0,16597,0.0
90703,3832.799805,49551,0.0773506045286674
90704,0,3999,0.0
90706,0,76619,0.0
90710,0,27486,0.0
90711,0,-100,-100
90712,0,31334,0.0
90713,2653.199951,27562,0.0962629689790291
90715,0,21129,0.0
90716,0,14203,0.0
90717,3654.399902,21347,0.17119032660327
90720,1976.399902,21710,0.0910363842468908
90723,0,54255,0.0
90731,0,59270,0.0
90740,0,23789,0.0
90742,0,968,0.0
90743,0,411,0.0
90745,7665.599609,58090,0.131960743828542
90746,0,25861,0.0
90755,0,10994,0.0
90801,0,-100,-100
90802,0,39017,0.0
90803,5504.400391,30855,0.17839573459731
90804,0,41094,0.0
